spec,rival_promoted,se,p_value,ci_lo,ci_hi,incumbent_promoted,n,placebo_lead_alone_coef,placebo_lead_alone_p,placebo_lead_joint_coef,placebo_lead_joint_p
1. raw,0.08534193321545414,0.0060668544803068785,0.0,0.07345089843405266,0.09723296799685562,,57152,,,,
2. + incumbent promo,0.0897897786539511,0.00610687161517119,0.0,0.07782031028821557,0.10175924701968664,-0.10816743485429532,57152,,,,
3. + household FE,0.07908272977597304,0.005048378681034966,0.0,0.06918790756114451,0.08897755199080157,-0.11022633584251589,57152,,,,
4. + week FE,0.07344074055967027,0.005556608398082257,0.0,0.06254978809942904,0.0843316930199115,-0.11526101257019687,57152,,,,
5. placebo (lead),0.07248997813436546,0.0055519216138939075,0.0,,,,55508,0.014022910299182113,0.004466701256658601,0.005855058732095062,0.22620189679910485
