spec,elasticity,std_error,p_value,display_coef,mailer_coef,n_cells
1. naive (unit value),-0.333659145016888,0.19516475746019987,0.09121104160094884,,,6058
2. naive (price index),-0.31697033354460785,0.1959312079761189,0.10964999367395767,,,6058
3. + display/mailer,-0.324494276675452,0.19008361005647867,0.09167965822403712,1.3621032776503235,0.9305050755727086,6058
4. + brand-pack FE,-0.551495237631137,0.09208271773460858,5.719426754424717e-08,0.6602202090098781,0.5382744109178901,6058
5. + week FE,-0.5711839653209579,0.09620591123257416,7.129735157818118e-08,0.5336303925986635,0.5184328715006343,6058
