mechanic,counterfactual,cells,promoted_units,incremental_units,discount_spend,incr_units_per_dollar,incr_share_of_volume
display + mailer,GBM,288,52109.0,39601.43644808256,73110.35999999999,0.5416665496939499,0.7599730650767154
display + mailer,FE,288,52109.0,33347.6048515357,73110.35999999999,0.4561269408540145,0.6399586415309391
display only,GBM,601,9945.0,3444.345319968959,5328.89,0.6463532405377027,0.34633939868968916
display only,FE,601,9945.0,2129.2741741220034,5328.89,0.39957180090450417,0.21410499488406268
mailer only,GBM,386,8049.0,2958.852009854928,5488.51,0.5390993201898016,0.3676049210901886
mailer only,FE,386,8049.0,3585.469016332756,5488.51,0.6532681941606658,0.44545521385672204
