mechanic,counterfactual,discount_spend,gross_incremental,net_incremental,volume_giveup_pct_of_category,breakeven_gross_margin,current_depth,breakeven_depth_at_25pct,depthcut_units_lost_e0571,depthcut_giveup_pct_of_category_e0571,depthcut_units_lost_e1000,depthcut_giveup_pct_of_category_e1000,net_gain_at_20pct,net_gain_at_25pct,net_gain_at_30pct,net_gain_at_35pct
display + mailer,FE,73110.35999999999,33347.6048515357,28678.940172320705,0.17809134767175275,1.2495602701528872,0.4039810983105645,0.13759110792915188,9910.796153642788,0.06154436087585176,16095.979687144343,0.09995330013440769,61408.585904532825,58483.14238066604,55557.69885679925,52632.25533293246
display + mailer,GBM,73110.35999999999,39601.43644808256,34057.235345351,0.21148964725277736,1.0522305720365925,0.4039810983105645,0.1633942089914938,9172.483865681388,0.056959566961725015,14985.244365108616,0.09305582243058103,59214.097727655084,55740.03215956886,52265.96659148263,48791.90102339641
display only,FE,5328.89,2129.2741741220034,1831.175789744923,0.011371290649516707,1.426422240376692,0.18162788557703502,0.046032573900073474,833.5802882173429,0.005176392015508075,1413.565429734212,0.008778001240315535,4581.721335749121,4394.929169686401,4208.13700362368,4021.344837560961
display only,GBM,5328.89,3444.345319968959,2962.1369751733046,0.018394367529874278,0.8818059037862994,0.18162788557703502,0.07446297071828317,674.8054627509333,0.004190427315496217,1151.4991238085747,0.007150613989558635,4120.258944771451,3818.1011809643132,3515.9434171571756,3213.7856533500385
mailer only,FE,5488.51,3585.469016332756,3083.50335404617,0.01914803212994796,0.8724718400990696,0.27059444652882925,0.09577287097919523,929.2819949751515,0.005770683360605778,1556.1785489922283,0.009663604489658946,4230.358218418883,3915.8202730236035,3601.2823276283243,3286.744382233045
mailer only,GBM,5488.51,2958.852009854928,2544.612728475238,0.01580161286971924,1.0572413692469254,0.27059444652882925,0.07903505803439054,1003.457245813477,0.006231299070472115,1674.1804684779333,0.010396376368354292,4450.239996640318,4190.672495800398,3931.104994960477,3671.537494120557
