spec,elasticity,std_error,p_value,display_coef,mailer_coef,n_obs,pct_of_naive
1. naive,-0.05648538522991079,0.019040327120303235,0.0031491778597345643,,,92212,100.0
2. + display/mailer,-0.06827596139621135,0.015363572635137917,1.0793238705453234e-05,0.14928495483476634,0.13573098579029655,92212,120.9
3. + product FE,-0.4366016832244116,0.05280379530016451,1.1102230246251565e-15,0.051617282644378946,0.04523050975769379,92212,772.9
4. + store x week FE,-0.41413320558395955,0.042390583117483976,0.0,0.06302657939472289,0.0453948493659157,91662,733.2
